epoch,train_loss,val_loss
1,0.349136,0.873764
2,0.215386,0.568938
3,0.181068,0.335095
4,0.165577,0.231043
5,0.155026,0.184220
6,0.146248,0.162301
7,0.139728,0.150004
8,0.133929,0.141596
9,0.129046,0.134908
10,0.124013,0.129093
11,0.120027,0.123914
12,0.115645,0.119212
13,0.112606,0.114977
14,0.109077,0.111174
15,0.106277,0.107773
16,0.103119,0.104710
17,0.100936,0.101973
18,0.099008,0.099538
19,0.097060,0.097338
20,0.095081,0.095383
21,0.093045,0.093570
22,0.091710,0.091941
23,0.091023,0.090482
24,0.089515,0.089110
25,0.088419,0.087840
26,0.086718,0.086668
27,0.085955,0.085587
28,0.085217,0.084596
29,0.084269,0.083680
30,0.083432,0.082837
31,0.082855,0.082049
32,0.082173,0.081298
33,0.081341,0.080610
34,0.080541,0.079964
35,0.079934,0.079344
36,0.079665,0.078731
37,0.078973,0.078190
38,0.078204,0.077677
39,0.077664,0.077195
40,0.077147,0.076706
41,0.077004,0.076238
42,0.076588,0.075814
43,0.075901,0.075433
44,0.075547,0.075011
45,0.074881,0.074613
46,0.074630,0.074270
47,0.074648,0.073928
48,0.073955,0.073615
49,0.073487,0.073310
50,0.072714,0.073003
51,0.073165,0.072709
52,0.072563,0.072417
53,0.072253,0.072143
54,0.071952,0.071896
55,0.071662,0.071641
56,0.071784,0.071392
57,0.071363,0.071161
58,0.070824,0.070923
59,0.070650,0.070695
60,0.070474,0.070452
61,0.070484,0.070252
62,0.070214,0.070034
63,0.069824,0.069816
64,0.069552,0.069608
65,0.069307,0.069394
66,0.068975,0.069198
67,0.069124,0.069012
68,0.068637,0.068809
69,0.068553,0.068659
70,0.068301,0.068491
71,0.068121,0.068332
72,0.068086,0.068178
73,0.067568,0.068026
74,0.067780,0.067853
75,0.067490,0.067683
76,0.067103,0.067573
77,0.066811,0.067431
78,0.066944,0.067254
79,0.066622,0.067140
80,0.066624,0.066992
81,0.066589,0.066850
82,0.066415,0.066694
83,0.066058,0.066598
84,0.065658,0.066494
85,0.065875,0.066341
86,0.065707,0.066215
87,0.065101,0.066102
88,0.065529,0.065986
89,0.065115,0.065897
90,0.064974,0.065787
91,0.065155,0.065670
92,0.064890,0.065568
93,0.064836,0.065465
94,0.064466,0.065355
95,0.064760,0.065261
96,0.064448,0.065148
97,0.064317,0.065027
98,0.064208,0.064920
99,0.063313,0.064842
100,0.063744,0.064769
101,0.063849,0.064697
102,0.063782,0.064611
103,0.063366,0.064525
104,0.063417,0.064465
105,0.063440,0.064371
106,0.063537,0.064273
107,0.062818,0.064193
108,0.062919,0.064130
109,0.062601,0.064067
110,0.062401,0.063980
111,0.062146,0.063909
112,0.062740,0.063834
113,0.062464,0.063754
114,0.062503,0.063679
115,0.062297,0.063576
116,0.062146,0.063498
117,0.062099,0.063444
118,0.061760,0.063390
119,0.061939,0.063319
120,0.061671,0.063224
121,0.061797,0.063165
122,0.061540,0.063104
123,0.061527,0.063043
124,0.061456,0.062983
125,0.061151,0.062931
126,0.061268,0.062874
127,0.061276,0.062817
128,0.061263,0.062754
129,0.060597,0.062699
130,0.060541,0.062663
131,0.060789,0.062623
132,0.060617,0.062584
133,0.060549,0.062526
134,0.060786,0.062474
135,0.060486,0.062400
136,0.060208,0.062365
137,0.060315,0.062338
138,0.060174,0.062281
139,0.060460,0.062240
140,0.059834,0.062195
141,0.059925,0.062153
142,0.059692,0.062112
143,0.059785,0.062043
144,0.059854,0.061995
145,0.059557,0.061940
146,0.059653,0.061884
147,0.059588,0.061840
148,0.059742,0.061797
149,0.059401,0.061748
150,0.059543,0.061713
151,0.059036,0.061666
152,0.058818,0.061631
153,0.058912,0.061585
154,0.059221,0.061531
155,0.059019,0.061470
156,0.058688,0.061449
157,0.058655,0.061399
158,0.058820,0.061346
159,0.058454,0.061324
160,0.058562,0.061283
161,0.058606,0.061238
162,0.058330,0.061196
163,0.058142,0.061158
164,0.058475,0.061139
165,0.058231,0.061083
166,0.057939,0.061035
167,0.057960,0.060999
168,0.058176,0.060961
169,0.058419,0.060943
170,0.057946,0.060922
171,0.057996,0.060872
172,0.057954,0.060832
173,0.057867,0.060809
174,0.057999,0.060789
175,0.057365,0.060757
176,0.057373,0.060701
177,0.057583,0.060670
178,0.057634,0.060628
179,0.057465,0.060593
180,0.057451,0.060562
181,0.056939,0.060545
182,0.057010,0.060517
183,0.057074,0.060483
184,0.057041,0.060463
185,0.057220,0.060442
186,0.056779,0.060409
187,0.057112,0.060389
188,0.057095,0.060363
189,0.056579,0.060318
190,0.056816,0.060284
191,0.056838,0.060268
192,0.056738,0.060247
193,0.056492,0.060215
194,0.056833,0.060182
195,0.056682,0.060156
196,0.056308,0.060132
197,0.056543,0.060128
198,0.056097,0.060091
199,0.056611,0.060058
200,0.056517,0.060025
201,0.056290,0.059976
202,0.056069,0.059947
203,0.056083,0.059934
204,0.055875,0.059905
205,0.055925,0.059888
206,0.055810,0.059863
207,0.056198,0.059863
208,0.055805,0.059850
209,0.055697,0.059839
210,0.055717,0.059789
211,0.055494,0.059747
212,0.055559,0.059695
213,0.055787,0.059672
214,0.055503,0.059646
215,0.055528,0.059649
216,0.055406,0.059638
217,0.055308,0.059633
218,0.055431,0.059616
219,0.055149,0.059593
220,0.055498,0.059588
221,0.055178,0.059587
222,0.054867,0.059567
223,0.055011,0.059556
224,0.055073,0.059553
225,0.055128,0.059518
226,0.055155,0.059469
227,0.055068,0.059443
228,0.054626,0.059414
229,0.054973,0.059410
230,0.054843,0.059379
231,0.054968,0.059386
232,0.054552,0.059371
233,0.054504,0.059366
234,0.054402,0.059368
235,0.054427,0.059375
236,0.054552,0.059360
237,0.054561,0.059355
238,0.054219,0.059346
239,0.054435,0.059329
240,0.054378,0.059292
241,0.054120,0.059286
242,0.054124,0.059270
243,0.054181,0.059266
244,0.054105,0.059247
245,0.054257,0.059219
246,0.054157,0.059212
247,0.053873,0.059199
248,0.054078,0.059185
249,0.053930,0.059168
250,0.053842,0.059159
251,0.053735,0.059145
252,0.053741,0.059140
253,0.053958,0.059137
254,0.053903,0.059148
255,0.053740,0.059134
256,0.053804,0.059123
257,0.053784,0.059100
258,0.053446,0.059087
259,0.053495,0.059058
260,0.053771,0.059052
261,0.053502,0.059052
262,0.053480,0.059040
263,0.053497,0.059025
264,0.053431,0.059016
265,0.053334,0.059020
266,0.053145,0.059023
267,0.053329,0.059008
268,0.053465,0.058987
269,0.053263,0.058954
270,0.053291,0.058961
271,0.053244,0.058948
272,0.053214,0.058946
273,0.053362,0.058949
274,0.052822,0.058940
275,0.053275,0.058910
276,0.053190,0.058872
277,0.053110,0.058848
278,0.053197,0.058848
279,0.052825,0.058830
280,0.052873,0.058837
281,0.052539,0.058836
282,0.052922,0.058834
283,0.053077,0.058847
284,0.052675,0.058849
285,0.052574,0.058827
286,0.052802,0.058824
287,0.052473,0.058805
288,0.052478,0.058792
289,0.052618,0.058791
290,0.052437,0.058782
291,0.052559,0.058762
292,0.052988,0.058762
293,0.052541,0.058755
294,0.052463,0.058743
295,0.052456,0.058734
296,0.052433,0.058740
297,0.052553,0.058753
298,0.052480,0.058741
299,0.052562,0.058733
300,0.052341,0.058727
301,0.052498,0.058735
302,0.052206,0.058734
303,0.052358,0.058721
304,0.052081,0.058698
305,0.052124,0.058678
306,0.052200,0.058671
307,0.052073,0.058640
308,0.052045,0.058624
309,0.052227,0.058605
310,0.051986,0.058602
311,0.052100,0.058605
312,0.052106,0.058612
313,0.052068,0.058606
314,0.051885,0.058610
315,0.051911,0.058592
316,0.051888,0.058587
317,0.051956,0.058589
318,0.052060,0.058594
319,0.051667,0.058587
320,0.051559,0.058585
321,0.051931,0.058588
322,0.051825,0.058578
323,0.051575,0.058585
324,0.051747,0.058575
325,0.051713,0.058572
326,0.051526,0.058573
327,0.051641,0.058567
328,0.051430,0.058556
329,0.051893,0.058564
330,0.051632,0.058567
331,0.051719,0.058559
332,0.051578,0.058543
333,0.051621,0.058549
334,0.051591,0.058543
335,0.051321,0.058551
336,0.051424,0.058541
337,0.051655,0.058532
338,0.051731,0.058521
339,0.051271,0.058512
340,0.051334,0.058517
341,0.051215,0.058513
342,0.051399,0.058510
343,0.051524,0.058511
344,0.051503,0.058519
345,0.051257,0.058526
346,0.051566,0.058512
347,0.051459,0.058499
348,0.051512,0.058488
349,0.051446,0.058478
350,0.051256,0.058474
351,0.051118,0.058473
352,0.051437,0.058475
353,0.051420,0.058475
354,0.051398,0.058471
355,0.051277,0.058464
356,0.051016,0.058464
357,0.051331,0.058464
358,0.051015,0.058464
359,0.051143,0.058459
360,0.050876,0.058454
361,0.050977,0.058455
362,0.051374,0.058452
363,0.051396,0.058451
364,0.051379,0.058449
365,0.051019,0.058452
366,0.051219,0.058453
367,0.051132,0.058452
368,0.051118,0.058454
369,0.051032,0.058451
370,0.051176,0.058450
371,0.051169,0.058445
372,0.051160,0.058444
373,0.050945,0.058450
374,0.051143,0.058447
375,0.051065,0.058443
376,0.051463,0.058444
377,0.050987,0.058443
378,0.051173,0.058440
379,0.050787,0.058441
380,0.051351,0.058441
381,0.051213,0.058445
382,0.050842,0.058443
383,0.050993,0.058442
384,0.050954,0.058442
385,0.051009,0.058440
386,0.050915,0.058438
387,0.050984,0.058437
388,0.051050,0.058437
389,0.051116,0.058436
390,0.051207,0.058436
391,0.051200,0.058435
392,0.050763,0.058435
393,0.051026,0.058436
394,0.051247,0.058436
395,0.051153,0.058436
396,0.050805,0.058436
397,0.050903,0.058436
398,0.050908,0.058436
399,0.051239,0.058436
400,0.051032,0.058436
