epoch,train_loss,val_loss
1,0.335113,0.630792
2,0.190117,0.362675
3,0.166381,0.217253
4,0.154391,0.162258
5,0.145917,0.138501
6,0.139754,0.126016
7,0.135191,0.118302
8,0.131572,0.112858
9,0.128119,0.108487
10,0.122105,0.104765
11,0.115900,0.100454
12,0.112671,0.094728
13,0.108833,0.089782
14,0.105853,0.086098
15,0.103873,0.083295
16,0.101040,0.081056
17,0.100004,0.079339
18,0.098393,0.077928
19,0.097263,0.076631
20,0.095252,0.075447
21,0.094484,0.074461
22,0.093527,0.073511
23,0.091541,0.072624
24,0.091102,0.071927
25,0.089868,0.071303
26,0.089714,0.070630
27,0.088417,0.070004
28,0.087232,0.069403
29,0.086846,0.068942
30,0.086321,0.068400
31,0.085945,0.067937
32,0.084823,0.067425
33,0.084769,0.066977
34,0.083441,0.066589
35,0.083315,0.066287
36,0.082650,0.065962
37,0.082500,0.065623
38,0.081498,0.065238
39,0.081063,0.064953
40,0.080410,0.064616
41,0.080010,0.064363
42,0.079716,0.064012
43,0.079260,0.063732
44,0.078549,0.063396
45,0.078821,0.063103
46,0.077948,0.062884
47,0.077752,0.062571
48,0.076961,0.062389
49,0.076602,0.062167
50,0.076837,0.061961
51,0.076816,0.061756
52,0.075906,0.061538
53,0.075727,0.061362
54,0.075374,0.061216
55,0.075285,0.061034
56,0.074695,0.060856
57,0.074568,0.060719
58,0.074630,0.060489
59,0.074033,0.060331
60,0.073435,0.060204
61,0.073612,0.060006
62,0.073477,0.059832
63,0.073128,0.059706
64,0.072907,0.059530
65,0.072402,0.059436
66,0.072322,0.059318
67,0.072210,0.059161
68,0.072163,0.059022
69,0.071579,0.058861
70,0.071455,0.058771
71,0.071225,0.058625
72,0.071136,0.058512
73,0.070832,0.058449
74,0.070519,0.058288
75,0.070566,0.058128
76,0.070193,0.058009
77,0.070169,0.057889
78,0.069776,0.057786
79,0.069197,0.057709
80,0.069294,0.057621
81,0.069296,0.057489
82,0.069212,0.057366
83,0.069025,0.057240
84,0.068748,0.057139
85,0.068764,0.056998
86,0.068387,0.056936
87,0.067608,0.056870
88,0.068094,0.056775
89,0.068275,0.056656
90,0.067682,0.056536
91,0.067674,0.056483
92,0.067431,0.056417
93,0.066777,0.056291
94,0.066949,0.056205
95,0.066868,0.056105
96,0.066434,0.056022
97,0.066173,0.055935
98,0.066386,0.055882
99,0.066153,0.055764
100,0.065760,0.055674
101,0.066021,0.055631
102,0.065920,0.055562
103,0.065915,0.055487
104,0.065497,0.055440
105,0.065566,0.055392
106,0.065293,0.055297
107,0.065030,0.055213
108,0.065051,0.055185
109,0.064785,0.055100
110,0.064641,0.054995
111,0.064501,0.054923
112,0.064147,0.054883
113,0.064118,0.054855
114,0.064019,0.054787
115,0.064313,0.054701
116,0.063818,0.054669
117,0.063731,0.054563
118,0.063921,0.054512
119,0.063268,0.054475
120,0.063514,0.054424
121,0.063477,0.054324
122,0.062762,0.054287
123,0.063215,0.054243
124,0.063168,0.054211
125,0.063257,0.054131
126,0.062932,0.054079
127,0.062824,0.054017
128,0.062699,0.053993
129,0.062546,0.053966
130,0.062031,0.053916
131,0.062174,0.053875
132,0.061962,0.053819
133,0.061973,0.053747
134,0.061779,0.053685
135,0.061958,0.053652
136,0.061678,0.053586
137,0.061772,0.053538
138,0.061314,0.053529
139,0.061784,0.053501
140,0.061755,0.053478
141,0.061289,0.053458
142,0.061233,0.053413
143,0.061167,0.053384
144,0.061269,0.053332
145,0.060748,0.053289
146,0.060803,0.053223
147,0.061159,0.053174
148,0.060834,0.053126
149,0.060373,0.053105
150,0.060852,0.053089
151,0.060226,0.053093
152,0.060493,0.053077
153,0.060353,0.053061
154,0.060461,0.053017
155,0.060450,0.052987
156,0.060297,0.052925
157,0.059990,0.052904
158,0.060064,0.052893
159,0.059970,0.052855
160,0.060037,0.052817
161,0.060142,0.052778
162,0.059675,0.052764
163,0.059740,0.052744
164,0.059624,0.052722
165,0.059863,0.052712
166,0.059527,0.052703
167,0.059269,0.052668
168,0.059180,0.052620
169,0.059213,0.052609
170,0.059019,0.052587
171,0.059233,0.052550
172,0.059204,0.052569
173,0.059281,0.052556
174,0.058958,0.052539
175,0.059017,0.052528
176,0.059211,0.052515
177,0.059007,0.052507
178,0.058890,0.052480
179,0.058641,0.052463
180,0.058619,0.052455
181,0.059029,0.052460
182,0.058782,0.052441
183,0.058727,0.052414
184,0.058800,0.052412
185,0.058626,0.052403
186,0.059006,0.052396
187,0.058578,0.052381
188,0.058752,0.052366
189,0.058541,0.052369
190,0.058945,0.052358
191,0.058656,0.052353
192,0.059262,0.052352
193,0.058826,0.052353
194,0.058577,0.052349
195,0.058528,0.052343
196,0.058404,0.052343
197,0.058790,0.052343
198,0.058801,0.052342
199,0.058692,0.052340
200,0.058520,0.052337
