model,noise_sigma,success_rate
T20_L2d128ff512_H10_ne1,0.0,1.0
T20_L2d128ff512_H10_ne1,0.02,1.0
T20_L2d128ff512_H10_ne1,0.03,0.5
T20_L2d128ff512_H10_ne1,0.04,0.0
T20_L2d128ff512_H10_ne1,0.05,0.0
T20_L2d128ff512_H10_ne2,0.0,1.0
T20_L2d128ff512_H10_ne2,0.02,0.25
T20_L2d128ff512_H10_ne2,0.03,0.0
T20_L2d128ff512_H10_ne2,0.04,0.0
T20_L2d128ff512_H10_ne2,0.05,0.0
T20_L2d128ff512_H10_ne4,0.0,0.0
T20_L2d128ff512_H10_ne4,0.02,0.0
T20_L2d128ff512_H10_ne4,0.03,0.0
T20_L2d128ff512_H10_ne4,0.04,0.0
T20_L2d128ff512_H10_ne4,0.05,0.0
