epoch,train_loss,val_loss
1,0.069977,0.077864
2,0.068220,0.074403
3,0.068866,0.072441
4,0.069035,0.071282
5,0.069018,0.070595
6,0.068848,0.070166
7,0.068030,0.069872
8,0.068235,0.069645
9,0.068502,0.069456
10,0.067139,0.069296
11,0.067832,0.069143
12,0.067346,0.069003
13,0.067118,0.068870
14,0.066944,0.068748
15,0.067007,0.068618
16,0.065842,0.068500
17,0.066366,0.068382
18,0.067323,0.068264
19,0.066131,0.068149
20,0.066201,0.068032
21,0.067144,0.067930
22,0.066356,0.067825
23,0.065629,0.067719
24,0.066128,0.067604
25,0.065999,0.067487
26,0.065477,0.067374
27,0.066769,0.067260
28,0.066257,0.067149
29,0.065801,0.067036
30,0.065078,0.066931
31,0.065026,0.066822
32,0.065730,0.066722
33,0.065577,0.066635
34,0.064515,0.066544
35,0.064983,0.066444
36,0.064312,0.066352
37,0.065202,0.066247
38,0.065132,0.066150
39,0.063488,0.066033
40,0.064171,0.065930
41,0.064358,0.065824
42,0.063544,0.065715
43,0.063582,0.065609
44,0.063883,0.065499
45,0.064459,0.065384
46,0.063717,0.065270
47,0.063541,0.065172
48,0.063513,0.065075
49,0.063421,0.064972
50,0.063676,0.064870
51,0.064082,0.064767
52,0.063068,0.064671
53,0.063931,0.064585
54,0.062372,0.064500
55,0.062788,0.064407
56,0.062444,0.064324
57,0.062616,0.064230
58,0.062753,0.064136
59,0.061954,0.064038
60,0.062346,0.063946
61,0.062013,0.063860
62,0.061669,0.063766
63,0.062264,0.063689
64,0.061645,0.063598
65,0.061802,0.063518
66,0.061621,0.063437
67,0.061571,0.063359
68,0.061926,0.063278
69,0.061302,0.063214
70,0.062446,0.063134
71,0.061603,0.063059
72,0.060690,0.062993
73,0.060771,0.062925
74,0.060828,0.062865
75,0.060779,0.062797
76,0.061219,0.062730
77,0.061200,0.062652
78,0.061230,0.062594
79,0.060916,0.062526
80,0.060467,0.062458
81,0.060717,0.062403
82,0.060696,0.062346
83,0.060538,0.062289
84,0.059666,0.062243
85,0.060642,0.062182
86,0.060091,0.062125
87,0.059556,0.062051
88,0.060084,0.061984
89,0.060545,0.061932
90,0.060036,0.061885
91,0.059409,0.061841
92,0.059523,0.061801
93,0.059530,0.061750
94,0.059437,0.061701
95,0.059313,0.061655
96,0.059949,0.061615
97,0.059090,0.061562
98,0.060242,0.061506
99,0.059502,0.061451
100,0.059687,0.061404
101,0.059184,0.061354
102,0.058797,0.061314
103,0.059957,0.061266
104,0.059317,0.061226
105,0.058072,0.061180
106,0.058538,0.061134
107,0.058278,0.061094
108,0.058018,0.061056
109,0.059469,0.061019
110,0.059210,0.060979
111,0.058218,0.060935
112,0.059699,0.060898
113,0.058027,0.060865
114,0.058586,0.060827
115,0.058385,0.060796
116,0.058477,0.060758
117,0.058279,0.060724
118,0.058363,0.060681
119,0.057836,0.060653
120,0.058124,0.060616
121,0.057685,0.060584
122,0.058304,0.060553
123,0.058649,0.060534
124,0.058523,0.060504
125,0.058197,0.060478
126,0.058125,0.060449
127,0.058253,0.060424
128,0.057941,0.060389
129,0.058553,0.060349
130,0.057474,0.060321
131,0.059178,0.060293
132,0.057592,0.060264
133,0.057718,0.060246
134,0.058697,0.060225
135,0.058677,0.060202
136,0.057746,0.060180
137,0.057955,0.060156
138,0.057220,0.060140
139,0.057684,0.060121
140,0.057415,0.060096
141,0.057793,0.060074
142,0.057167,0.060055
143,0.057825,0.060041
144,0.057718,0.060030
145,0.057725,0.060012
146,0.057122,0.059991
147,0.056914,0.059964
148,0.057266,0.059950
149,0.058015,0.059929
150,0.057626,0.059914
151,0.056775,0.059898
152,0.057234,0.059886
153,0.057121,0.059877
154,0.057128,0.059864
155,0.057659,0.059848
156,0.057177,0.059830
157,0.056918,0.059822
158,0.057667,0.059809
159,0.056753,0.059801
160,0.057327,0.059796
161,0.056531,0.059789
162,0.056943,0.059781
163,0.057077,0.059772
164,0.056238,0.059760
165,0.057328,0.059752
166,0.057403,0.059745
167,0.057880,0.059742
168,0.057736,0.059736
169,0.057488,0.059731
170,0.056687,0.059727
171,0.056936,0.059720
172,0.057812,0.059710
173,0.057799,0.059700
174,0.057031,0.059694
175,0.056933,0.059691
176,0.056874,0.059687
177,0.056963,0.059685
178,0.057313,0.059684
179,0.056836,0.059685
180,0.057004,0.059683
181,0.057406,0.059680
182,0.056296,0.059673
183,0.056608,0.059671
184,0.056215,0.059667
185,0.056894,0.059665
186,0.057145,0.059664
187,0.057601,0.059661
188,0.057155,0.059658
189,0.057621,0.059656
190,0.056862,0.059655
191,0.056965,0.059654
192,0.057488,0.059653
193,0.056655,0.059653
194,0.057732,0.059651
195,0.057434,0.059650
196,0.057333,0.059649
197,0.056354,0.059648
198,0.057558,0.059648
199,0.057261,0.059648
200,0.056627,0.059647
