epoch,train_loss,val_loss
1,0.270143,0.753456
2,0.199548,0.493380
3,0.193288,0.347921
4,0.190029,0.274367
5,0.186464,0.237708
6,0.184899,0.216955
7,0.182824,0.203369
8,0.182205,0.194952
9,0.180309,0.189865
10,0.177650,0.186743
11,0.171859,0.184399
12,0.163190,0.182528
13,0.157093,0.179496
14,0.152101,0.174219
15,0.148808,0.167969
16,0.143688,0.162050
17,0.142021,0.156831
18,0.138868,0.152441
19,0.135634,0.148643
20,0.133129,0.145186
21,0.130142,0.141951
22,0.124645,0.138717
23,0.118230,0.135222
24,0.114291,0.131339
25,0.110006,0.127115
26,0.106859,0.122750
27,0.103843,0.118453
28,0.100173,0.114396
29,0.097844,0.110666
30,0.095305,0.107315
31,0.093707,0.104306
32,0.090767,0.101587
33,0.088870,0.099059
34,0.086931,0.096629
35,0.086118,0.094408
36,0.084401,0.092368
37,0.082284,0.090481
38,0.081074,0.088656
39,0.079782,0.086986
40,0.078116,0.085450
41,0.077275,0.083949
42,0.075872,0.082539
43,0.074228,0.081255
44,0.073986,0.080082
45,0.073443,0.078977
46,0.071769,0.077921
47,0.070446,0.076898
48,0.071118,0.075977
49,0.068837,0.075068
50,0.068587,0.074167
51,0.067772,0.073355
52,0.067952,0.072643
53,0.066714,0.071929
54,0.066918,0.071236
55,0.065648,0.070617
56,0.065141,0.070013
57,0.064338,0.069435
58,0.064644,0.068931
59,0.062929,0.068385
60,0.063583,0.067940
61,0.062190,0.067481
62,0.062568,0.067063
63,0.061784,0.066634
64,0.062163,0.066302
65,0.061738,0.065954
66,0.060920,0.065586
67,0.060466,0.065236
68,0.060958,0.064900
69,0.060470,0.064608
70,0.059526,0.064313
71,0.059277,0.063980
72,0.059125,0.063689
73,0.058883,0.063424
74,0.058423,0.063180
75,0.058030,0.062923
76,0.058661,0.062689
77,0.058392,0.062451
78,0.056555,0.062191
79,0.056520,0.061916
80,0.057527,0.061695
81,0.056923,0.061501
82,0.056282,0.061294
83,0.056508,0.061093
84,0.056235,0.060902
85,0.056082,0.060710
