time,q1,q2,q1_dot,q2_dot
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,1.231860932334621905e-01,-1.503827709332156981e-01,4.927443729338487621e+00,-6.015310837328627258e+00
1.000000000000000056e-01,4.123877660421847446e-01,-3.897917279839624993e-01,6.640623183010413655e+00,-3.561047444701243236e+00
1.500000000000000222e-01,7.660153231615456360e-01,-5.156831419850181897e-01,7.504479101764020221e+00,-1.474609115340983934e+00
2.000000000000000111e-01,1.142053089185345316e+00,-5.505130402165099301e-01,7.537031539187964313e+00,8.141318608131480061e-02
2.500000000000000000e-01,1.502262027992939730e+00,-5.132358957285757528e-01,6.871326013115812259e+00,1.409672593436050336e+00
3.000000000000000444e-01,1.828640259043630145e+00,-4.338380601541055870e-01,6.183803228911805228e+00,1.766240829542756297e+00
3.500000000000000333e-01,2.126596757807651006e+00,-3.409858198319838940e-01,5.734456721649038968e+00,1.947848783342112977e+00
4.000000000000000222e-01,2.415984023579341056e+00,-2.430292557770840634e-01,5.841033909218550590e+00,1.970413778853879361e+00
4.500000000000000111e-01,2.677952465766440859e+00,-1.549969871746086636e-01,4.637703778265445997e+00,1.550876965245136185e+00
5.000000000000000000e-01,2.863415503633174097e+00,-9.300097957911605817e-02,2.780817736403878637e+00,9.289633385745673655e-01
5.500000000000000444e-01,2.974687156220046091e+00,-5.580338978198354921e-02,1.670048367071010675e+00,5.589402533107328264e-01
6.000000000000000888e-01,3.041452536945696838e+00,-3.348345587092943498e-02,1.000566861955014986e+00,3.338571031314318538e-01
6.500000000000000222e-01,3.081515680537925128e+00,-2.009277315236481995e-02,6.019588817341083864e-01,2.017702056111525810e-01
7.000000000000000666e-01,3.105551974189295183e+00,-1.205488280979258135e-02,3.594928643206955488e-01,1.197454080917369768e-01
7.500000000000000000e-01,3.119977127585903176e+00,-7.233068109182350276e-03,2.175132715436299269e-01,7.312717993267223160e-02
8.000000000000000444e-01,3.128626644702946713e+00,-4.343473202244346743e-03,1.284674131381042528e-01,4.245661634484790281e-02
8.500000000000000888e-01,3.133816478914733139e+00,-2.606103217063611682e-03,7.912595533335767262e-02,2.703818306238149269e-02
9.000000000000000222e-01,3.136924130089312701e+00,-1.564068256263885601e-03,4.518009164982980663e-02,1.464321536960753838e-02
9.500000000000000666e-01,3.138788568247492972e+00,-9.385758014999010402e-04,2.939743467737972182e-02,1.037648282095184407e-02
1.000000000000000000e+00,3.139903998280119790e+00,-5.623268166480149821e-04,1.521976662769633851e-02,4.673476573123597384e-03
1.050000000000000044e+00,3.140581729874233563e+00,-3.334943123253454795e-04,1.188949713685119765e-02,4.479823599783183154e-03
1.100000000000000089e+00,3.140981865385654270e+00,-1.940248588609062201e-04,4.115923319971770064e-03,1.098954538794387004e-03
1.150000000000000133e+00,3.141223921736646219e+00,-1.093041879378760998e-04,5.566330719706250735e-03,2.289872298126817592e-03
1.200000000000000178e+00,3.141368743524570295e+00,-5.772015356424366065e-05,2.265407972653307224e-04,-2.265109231815234394e-04
1.250000000000000000e+00,3.141457867311409302e+00,-2.521089243117280877e-05,3.338410676282859996e-03,1.526881368504358003e-03
1.300000000000000044e+00,3.141512797283253722e+00,-6.962358079576737649e-06,-1.141211802507916939e-03,-7.969399944405141821e-04
1.350000000000000089e+00,3.141547686768422665e+00,1.829525701396055633e-06,2.536791209280571217e-03,1.148615345679424721e-03
1.400000000000000133e+00,3.141567577198759231e+00,8.347177089795159485e-06,-1.741173995831237723e-03,-8.879092901434605667e-04
1.450000000000000178e+00,3.141578137778885171e+00,7.391132346634449353e-06,2.163597200876665738e-03,8.496675004170308604e-04
1.500000000000000000e+00,3.141585274876635747e+00,5.743961656593782176e-06,-1.878113290855307769e-03,-9.155543280186574390e-04
1.550000000000000044e+00,3.141584350483697996e+00,6.367447229645896846e-07,1.841137573346913418e-03,7.112656506734896852e-04
1.600000000000000089e+00,3.141587813154544051e+00,-2.148885433519236144e-06,-1.702630739512777519e-03,-8.226908569328430978e-04
1.650000000000000133e+00,3.141583254930769620e+00,-7.386357699567841668e-06,1.520301788534848255e-03,6.131919662908989852e-04
1.700000000000000178e+00,3.141586364846693513e+00,-1.005079651153416537e-05,-1.395905151571116354e-03,-7.197695187695522584e-04
1.750000000000000000e+00,3.141581553917498049e+00,-1.379390945413939279e-05,1.203467983749158038e-03,5.700450010653447877e-04
1.800000000000000044e+00,3.141586081215476334e+00,-9.961037371943357683e-06,-1.022376064616910751e-03,-4.167301177775046845e-04
1.850000000000000089e+00,3.141582607685786233e+00,-1.126550978421429414e-05,8.834348770086746655e-04,3.645512212866683106e-04
1.900000000000000133e+00,3.141588796094979319e+00,-5.749551982133437825e-06,-6.358985092829710223e-04,-1.439129092034349255e-04
1.950000000000000178e+00,3.141582776111019992e+00,-4.673687356109659547e-06,3.950991509187316061e-04,1.869474942443863277e-04
2.000000000000000000e+00,3.141592653589793116e+00,2.944454143616536759e-28,0.000000000000000000e+00,0.000000000000000000e+00
