q1,q2,q1_dot,q2_dot
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.056316245698225437e-02,-2.974169421887664089e-01,2.422526498279290230e+00,-1.189667768755065502e+01
8.411553004495662955e-02,-7.519798484039743602e-01,-1.480431794760315167e+00,-6.285838561057660812e+00
-5.119673847306339953e-02,-9.712389493769194582e-01,-3.932058945960485996e+00,-2.484525477860141329e+00
-2.689076416935843872e-01,-8.539915634306040060e-01,-4.776377182860352733e+00,7.174420915712759417e+00
-3.493903795050610772e-01,-5.597343017305095314e-01,1.557067670401284909e+00,4.595869552291018678e+00
-1.929421980214417465e-01,-2.663020165091794511e-01,4.700859588943488099e+00,7.141421856562183201e+00
-2.334798704903751597e-03,4.471530612845055486e-01,2.923436383718030829e+00,2.139678125518521767e+01
3.018221879416900233e-01,1.314303527650743986e+00,9.242843082145721922e+00,1.328923739946432292e+01
8.550676411648530095e-01,1.755784865219265134e+00,1.288697504678079575e+01,4.370016103276519459e+00
1.475319691517604559e+00,1.719791787400965166e+00,1.192310696732926623e+01,-5.809739216008517282e+00
2.000317454354446411e+00,1.274788146123392529e+00,9.076803546144406099e+00,-1.199040643509438731e+01
2.365535175848596960e+00,7.637262339175708847e-01,5.531905313621615861e+00,-8.452070053138475814e+00
2.587222606383625667e+00,4.229028297653136814e-01,3.335591907779532406e+00,-5.180866112951812319e+00
2.723989559578710473e+00,2.179605586863684608e-01,2.135086220023860726e+00,-3.016824730205995397e+00
2.817781121966322022e+00,1.014495416233814756e-01,1.616576275480593239e+00,-1.643615952313483897e+00
2.898904229479117411e+00,4.226309886270364358e-02,1.628348025031224555e+00,-7.238417581136291634e-01
2.979989276092160022e+00,1.932388473930202882e-02,1.615053839490476983e+00,-1.937268068224353157e-01
3.044613695555825394e+00,1.158440060654285231e-02,9.699229390561464603e-01,-1.158525584879317449e-01
3.083393991770798870e+00,6.945953605740953427e-03,5.812889095427945518e-01,-6.968532154414422419e-02
3.106663930734301804e+00,4.166241386553634803e-03,3.495086489973081578e-01,-4.150316722334849995e-02
3.120622547360751398e+00,2.500488677085200770e-03,2.088360160606860250e-01,-2.512694115538884401e-02
3.128997943072999277e+00,1.503912566255710551e-03,1.261798124292207168e-01,-1.473610327779076822e-02
3.134023188109486213e+00,9.076922939077568383e-04,7.482998903026741311e-02,-9.112707616127379423e-03
3.137039998486546466e+00,5.511670664201785783e-04,4.584242605213054156e-02,-5.148301483375749242e-03
3.138851565570517366e+00,3.371454915333825845e-04,2.662025730671544951e-02,-3.412561512096088344e-03
3.139939641575196116e+00,2.076853933959181510e-04,1.690278288042745825e-02,-1.765842413402489430e-03
3.140593953495470103e+00,1.284384063117850316e-04,9.269693930533142584e-03,-1.404037069962834911e-03
3.140986576598919555e+00,7.895685697967952908e-05,6.435230207457417681e-03,-5.752249033213859475e-04
3.141223515780803055e+00,4.783650293692490217e-05,3.042337067880896643e-03,-6.695892583887989120e-04
3.141365082444900203e+00,2.738923891511085807e-05,2.620329495989821497e-03,-1.483013024837628792e-04
3.141451708100798879e+00,1.450875784526713575e-05,8.446967399741530562e-04,-3.669179403099856614e-04
3.141502784239343704e+00,5.770038299331297390e-06,1.198348801819043357e-03,1.736915847255203233e-05
3.141535562862679321e+00,9.529974374299326860e-07,1.127961315920457679e-04,-2.100507929486066883e-04
3.141554253398350038e+00,-2.390728797621951727e-06,6.348252952370213482e-04,7.630174354653123043e-05
3.141568109567068667e+00,-3.327503479524053704e-06,-8.057854649490254042e-05,-1.137727308226149300e-04
3.141575420310824374e+00,-3.949808915562509615e-06,3.730082967331199316e-04,8.888051338107636834e-05
3.141582910636067094e+00,-2.867451353183010046e-06,-7.339528703065637504e-05,-4.558621088589622297e-05
3.141586428760646310e+00,-2.084458333808256262e-06,2.141202702017503410e-04,7.690593166088634724e-05
3.141592217678597088e+00,-8.090502114304929873e-08,1.743644783608051634e-05,3.236200845722046488e-06
3.141592653589793116e+00,4.124812310142752707e-30,0.000000000000000000e+00,0.000000000000000000e+00
